"id";"phenomenonTime";"resultnumber";"resultnumbers";"resultTime";"resultQuality";"validTime";"parameters";"datastream_id";"multidatastream_id";"featureofinterest_id";"temperature";"humidity";"battery"
31514;2021-11-17 05:33:53.000 +0100;;{0.2,13.772,NULL};2021-11-17 05:33:53.000 +0100;"";;"";;2;3;0.2;13.772;
31526;2021-11-17 05:53:10.000 +0100;;{0.15,13.772,NULL};2021-11-17 05:53:10.000 +0100;"";;"";;2;3;0.15;13.772;
31538;2021-11-17 06:08:18.000 +0100;;{0.2,13.772,100.0};2021-11-17 06:08:18.000 +0100;"";;"";;2;3;0.2;13.772;100.0
31550;2021-11-17 06:23:26.000 +0100;;{0.2,13.652,NULL};2021-11-17 06:23:26.000 +0100;"";;"";;2;3;0.2;13.652;
31561;2021-11-17 06:38:34.000 +0100;;{0.2,13.592,NULL};2021-11-17 06:38:34.000 +0100;"";;"";;2;3;0.2;13.592;
31572;2021-11-17 06:53:43.000 +0100;;{0.2,13.592,NULL};2021-11-17 06:53:43.000 +0100;"";;"";;2;3;0.2;13.592;
31583;2021-11-17 07:08:51.000 +0100;;{0.2,13.592,NULL};2021-11-17 07:08:51.000 +0100;"";;"";;2;3;0.2;13.592;
31594;2021-11-17 07:23:59.000 +0100;;{0.2,13.592,NULL};2021-11-17 07:23:59.000 +0100;"";;"";;2;3;0.2;13.592;
31605;2021-11-17 07:39:09.000 +0100;;{0.2,13.532,NULL};2021-11-17 07:39:09.000 +0100;"";;"";;2;3;0.2;13.532;
31616;2021-11-17 07:54:16.000 +0100;;{0.2,13.532,NULL};2021-11-17 07:54:16.000 +0100;"";;"";;2;3;0.2;13.532;
31628;2021-11-17 08:09:24.000 +0100;;{0.2,13.592,NULL};2021-11-17 08:09:24.000 +0100;"";;"";;2;3;0.2;13.592;
31639;2021-11-17 08:24:32.000 +0100;;{0.2,13.532,NULL};2021-11-17 08:24:32.000 +0100;"";;"";;2;3;0.2;13.532;
31651;2021-11-17 08:39:40.000 +0100;;{0.15,13.532,100.0};2021-11-17 08:39:40.000 +0100;"";;"";;2;3;0.15;13.532;100.0
31662;2021-11-17 08:54:49.000 +0100;;{0.2,13.532,NULL};2021-11-17 08:54:49.000 +0100;"";;"";;2;3;0.2;13.532;
512955;2023-01-18 11:44:32.000 +0100;;{18.203,0.2,NULL};2023-01-18 11:44:32.000 +0100;"";;"";;2;3;18.203;0.2;
512964;2023-01-18 11:59:41.000 +0100;;{18.443,0.2,NULL};2023-01-18 11:59:41.000 +0100;"";;"";;2;3;18.443;0.2;
512973;2023-01-18 12:14:50.000 +0100;;{18.323,0.2,100.0};2023-01-18 12:14:50.000 +0100;"";;"";;2;3;18.323;0.2;100.0
512981;2023-01-18 12:29:58.000 +0100;;{18.263,0.2,NULL};2023-01-18 12:29:58.000 +0100;"";;"";;2;3;18.263;0.2;
512990;2023-01-18 12:45:07.000 +0100;;{18.083,0.2,NULL};2023-01-18 12:45:07.000 +0100;"";;"";;2;3;18.083;0.2;
512999;2023-01-18 13:00:16.000 +0100;;{18.023,0.2,NULL};2023-01-18 13:00:16.000 +0100;"";;"";;2;3;18.023;0.2;
